0MEFAC03084812011053100120110430001201105319780022777                                                 
1201105310511103650022777PT503016160   DIRECTOR MEIOS E PROJECTOS              301                    
2A     Ligaá∆o Central                                                                                
3A 1   Bancos                                                                                         
4A 1 1 201105311                        CPU em real time      000100000000000000000000010000000100000D
6A 1   0000000100000D                                                                                 
7A     0000000000100000D                                                                              
2E     Utilizaá∆o de Cart‰es                                                                          
3E 1   Direitos de Utilizaá∆o                                                                         
4G 4 1 20110527MMOV520110527001         De 1 a 200000         000000000847000000000023300000000001974D
4G 4 1 20110528MMOV520110528001         De 1 a 200000         000000000847000000000035760000000003029D
4G 4 1 20110529MMOV520110529001         De 1 a 200000         000000000847000000000033980000000002878D
4G 4 1 20110530MMOV520110530001         De 1 a 200000         000000000847000000000020920000000001772D
4G 4 1 20110531MMOV520110531001         De 1 a 200000         000000000847000000000022400000000001897D
6G 4   0000000072411D                                                                                 
7G     0000000000208190D                                                                              
2I     Encargos Serviáo TPA                                                                           
3I 2   Emiss∆o de Extracto                                                                            
4I 2 2 2011053101362680001              Tar extr electronico  000000034000000000000000440000000001496D
4I 2 2 2011053101362680007              Tar extr electronico  000000034000000000000000460000000001564D
4I 2 2 2011053101362680011              Tar extr electronico  000000034000000000000000150000000000510D
4I 2 2 2011053101362680014              Tar extr electronico  000000034000000000000000020000000000068D
4I 2 2 2011053101362680015              Tar extr electronico  000000034000000000000000600000000002040D
4I 2 2 2011053101362680018              Tar extr electronico  000000034000000000000000500000000001700D
4I 2 2 2011053101362680019              Tar extr electronico  000000034000000000000000260000000000884D
4I 2 2 2011063001362680001              Tar extr electronico  000000034000000000000000010000000000034D
4I 2 2 2011063001362680007              Tar extr electronico  000000034000000000000000010000000000034D
4I 2 2 2011063001362680015              Tar extr electronico  000000034000000000000000020000000000068D
4I 2 2 2011063001362680018              Tar extr electronico  000000034000000000000000020000000000068D
4I 2 2 2011063001362680019              Tar extr electronico  000000034000000000000000020000000000068D
4I 2 3 20110531013626800017/2011/121    Format extr envio mail000000009000000000000000010000000000009D
4I 2 3 20110531013626800017/2011/122    Format extr envio mail000000009000000000000000010000000000009D
